sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3280;SDS011;1652;51.318;6.202;2022-07-02T00:00:23;5.70;;;4.23;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:02:50;4.53;;;4.33;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:05:20;10.73;;;4.30;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:07:51;5.77;;;4.03;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:10:18;10.53;;;4.67;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:12:46;6.03;;;4.53;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:15:14;12.40;;;4.73;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:17:41;9.27;;;4.13;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:20:09;4.20;;;3.90;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:22:36;10.93;;;4.20;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:25:05;4.40;;;4.10;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:27:32;5.93;;;4.17;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:30:00;4.53;;;4.23;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:32:29;4.40;;;3.80;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:34:58;6.37;;;4.40;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:37:29;17.10;;;4.13;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:39:58;12.83;;;4.00;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:42:25;6.13;;;4.47;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:44:53;7.93;;;4.60;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:47:21;8.20;;;4.20;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:49:50;5.20;;;4.70;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:52:17;8.73;;;7.00;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:54:44;4.30;;;4.10;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:57:11;4.43;;;4.23;;
3280;SDS011;1652;51.318;6.202;2022-07-02T00:59:39;11.63;;;4.37;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:02:07;7.77;;;3.73;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:04:34;5.60;;;4.67;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:07:06;4.00;;;3.73;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:09:39;4.23;;;3.90;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:12:28;4.60;;;4.17;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:14:55;9.43;;;3.37;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:17:23;17.10;;;3.97;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:19:50;15.60;;;4.37;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:22:23;4.40;;;4.03;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:24:52;5.10;;;4.20;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:27:20;4.40;;;4.00;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:29:49;5.00;;;4.37;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:32:17;6.17;;;4.10;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:34:45;4.43;;;4.00;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:37:17;3.90;;;3.60;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:39:45;7.77;;;3.77;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:42:13;5.87;;;4.40;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:44:40;4.33;;;4.00;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:47:09;4.10;;;3.70;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:49:37;4.60;;;3.90;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:52:04;4.33;;;4.10;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:54:32;4.33;;;4.03;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:57:00;4.30;;;4.10;;
3280;SDS011;1652;51.318;6.202;2022-07-02T01:59:27;4.40;;;4.10;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:01:55;6.47;;;5.07;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:04:22;5.60;;;4.43;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:06:49;11.03;;;4.87;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:09:16;5.03;;;4.73;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:11:42;13.47;;;4.30;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:14:10;6.03;;;4.23;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:16:36;9.63;;;5.23;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:19:04;8.30;;;4.60;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:21:31;5.63;;;4.50;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:23:58;5.27;;;4.83;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:26:26;6.60;;;4.83;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:28:53;11.10;;;4.73;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:31:21;6.73;;;5.27;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:33:49;6.53;;;5.40;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:36:16;5.57;;;4.97;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:38:44;5.10;;;4.70;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:41:13;5.43;;;4.90;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:43:41;5.40;;;5.00;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:46:08;5.90;;;5.27;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:48:36;9.67;;;5.70;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:51:03;8.73;;;5.30;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:53:31;5.03;;;4.70;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:55:59;5.40;;;5.00;;
3280;SDS011;1652;51.318;6.202;2022-07-02T02:58:27;18.67;;;5.10;;
