sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3280;SDS011;1652;51.318;6.202;2022-03-16T00:00:06;27.47;;;17.17;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:02:43;30.17;;;16.27;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:05:10;49.67;;;17.40;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:07:38;25.23;;;16.17;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:10:05;26.90;;;16.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:12:34;30.73;;;18.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:15:02;32.83;;;19.13;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:17:30;37.00;;;19.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:19:57;25.87;;;17.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:22:24;31.53;;;19.40;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:24:51;35.93;;;20.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:27:17;36.00;;;19.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:29:44;30.57;;;19.67;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:32:13;46.27;;;22.43;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:34:40;33.97;;;19.73;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:37:07;32.07;;;19.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:39:34;29.80;;;19.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:42:01;31.77;;;20.20;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:44:29;29.47;;;19.77;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:47:05;32.37;;;20.47;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:49:32;36.47;;;22.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:52:00;36.20;;;22.70;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:54:28;38.17;;;22.40;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:56:56;35.27;;;22.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T00:59:23;39.17;;;23.60;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:01:50;38.40;;;21.77;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:04:17;38.70;;;23.43;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:06:44;44.57;;;25.63;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:09:11;47.27;;;24.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:11:39;33.87;;;22.13;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:14:06;35.03;;;21.67;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:16:33;39.00;;;23.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:19:02;49.17;;;23.43;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:21:29;39.13;;;23.20;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:23:56;36.30;;;21.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:26:24;36.30;;;22.77;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:28:51;41.50;;;24.53;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:31:20;36.03;;;22.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:33:48;38.63;;;22.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:36:16;36.20;;;23.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:38:43;40.00;;;23.43;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:41:10;38.00;;;22.60;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:43:37;47.77;;;22.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:46:04;35.10;;;23.40;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:48:31;37.77;;;22.17;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:50:58;35.60;;;22.93;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:53:26;38.60;;;22.70;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:55:53;42.27;;;23.93;;
3280;SDS011;1652;51.318;6.202;2022-03-16T01:58:20;34.73;;;21.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:00:48;44.20;;;25.27;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:03:16;40.30;;;25.67;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:05:44;43.70;;;25.70;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:08:11;45.53;;;25.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:10:39;45.00;;;27.07;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:13:07;44.60;;;27.87;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:15:39;49.53;;;28.43;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:18:06;40.50;;;26.17;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:20:33;45.47;;;26.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:23:04;50.67;;;26.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:25:33;44.70;;;25.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:28:14;43.00;;;25.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:30:41;40.00;;;24.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:33:08;42.87;;;24.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:35:36;39.53;;;24.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:38:03;40.27;;;24.27;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:40:30;39.37;;;22.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:42:58;42.37;;;26.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:45:26;38.30;;;25.63;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:47:53;52.57;;;25.50;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:50:19;43.97;;;25.43;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:52:46;46.37;;;25.20;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:55:34;45.33;;;26.07;;
3280;SDS011;1652;51.318;6.202;2022-03-16T02:58:01;51.90;;;25.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:00:28;46.47;;;25.40;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:02:55;50.40;;;25.83;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:05:22;46.10;;;26.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:07:49;45.43;;;26.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:10:16;46.13;;;26.73;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:12:43;43.20;;;25.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:15:10;52.17;;;27.33;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:17:40;50.67;;;25.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:20:08;47.67;;;26.20;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:22:36;47.33;;;26.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:25:02;44.93;;;24.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:27:30;44.23;;;25.73;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:29:58;51.20;;;26.50;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:32:26;48.73;;;27.20;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:34:53;48.33;;;26.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:37:22;44.87;;;26.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:39:54;39.23;;;25.30;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:42:22;54.10;;;26.47;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:44:49;48.83;;;25.27;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:47:16;39.57;;;23.87;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:49:43;46.13;;;24.87;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:52:10;47.33;;;25.47;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:54:37;43.63;;;24.83;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:57:04;40.67;;;23.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T03:59:31;41.40;;;23.23;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:01:58;45.53;;;25.60;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:04:25;45.30;;;26.03;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:06:53;40.97;;;25.30;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:09:20;46.20;;;25.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:11:47;41.37;;;25.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:14:14;51.07;;;26.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:16:42;46.80;;;25.13;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:19:10;43.03;;;23.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:21:37;44.20;;;24.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:24:04;45.90;;;23.23;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:26:31;43.43;;;25.07;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:28:58;45.87;;;24.43;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:31:25;44.60;;;23.53;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:33:52;47.17;;;24.03;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:36:19;44.90;;;25.67;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:38:45;43.60;;;24.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:41:12;41.90;;;24.13;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:43:39;45.90;;;24.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:46:06;41.53;;;23.33;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:48:33;46.27;;;22.23;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:51:00;37.00;;;21.63;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:53:28;47.00;;;20.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:55:55;40.20;;;20.70;;
3280;SDS011;1652;51.318;6.202;2022-03-16T04:58:22;37.40;;;20.13;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:00:52;34.23;;;19.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:03:19;36.23;;;21.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:05:46;35.93;;;20.07;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:08:13;32.50;;;19.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:10:40;40.57;;;18.73;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:13:07;33.17;;;18.87;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:15:34;37.20;;;19.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:18:01;30.80;;;19.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:20:28;34.37;;;18.53;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:22:55;30.97;;;17.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:25:23;27.13;;;17.73;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:27:52;29.10;;;17.83;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:30:20;26.93;;;15.60;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:32:50;27.80;;;17.77;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:35:18;25.03;;;16.47;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:37:45;32.17;;;17.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:40:13;25.53;;;15.47;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:42:40;26.23;;;13.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:45:07;25.87;;;16.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:47:34;24.90;;;15.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:50:02;26.77;;;16.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:52:34;23.13;;;15.17;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:55:01;25.87;;;14.50;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:57:28;26.10;;;15.13;;
3280;SDS011;1652;51.318;6.202;2022-03-16T05:59:56;23.17;;;14.60;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:02:22;22.93;;;14.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:04:49;19.07;;;12.87;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:07:16;28.70;;;14.70;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:09:43;21.37;;;14.77;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:12:11;18.57;;;13.87;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:14:38;21.90;;;14.77;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:17:04;19.50;;;12.23;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:19:31;24.50;;;14.43;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:21:59;23.43;;;13.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:24:26;19.80;;;13.77;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:26:54;21.40;;;12.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:29:21;18.03;;;12.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:31:48;25.93;;;13.20;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:34:15;18.83;;;11.77;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:36:42;18.03;;;12.87;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:39:09;18.80;;;12.77;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:41:36;16.40;;;12.30;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:44:03;16.97;;;11.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:46:31;16.83;;;12.83;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:48:58;19.73;;;12.83;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:51:25;20.60;;;11.93;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:53:51;15.13;;;11.47;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:56:18;12.87;;;11.43;;
3280;SDS011;1652;51.318;6.202;2022-03-16T06:58:45;17.27;;;11.53;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:01:12;16.23;;;11.43;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:03:39;12.70;;;10.17;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:06:06;12.93;;;9.30;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:08:35;12.37;;;10.07;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:11:02;18.30;;;10.37;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:13:29;13.10;;;10.23;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:15:56;12.80;;;8.70;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:18:22;17.67;;;10.20;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:20:50;14.47;;;10.47;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:23:17;14.30;;;9.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:25:48;19.53;;;9.20;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:28:15;11.70;;;9.17;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:30:43;14.83;;;10.30;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:33:11;17.33;;;10.77;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:35:39;15.73;;;10.50;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:38:07;21.70;;;11.07;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:40:35;17.47;;;9.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:43:03;14.30;;;9.97;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:45:31;15.17;;;10.83;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:47:58;14.37;;;10.23;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:50:25;15.60;;;11.40;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:52:53;11.97;;;9.67;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:55:20;14.27;;;9.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T07:57:47;14.27;;;10.40;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:00:15;14.77;;;10.93;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:02:42;14.80;;;10.97;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:05:12;13.10;;;10.63;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:07:42;17.37;;;11.47;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:10:09;17.53;;;12.27;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:12:36;12.50;;;10.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:15:04;17.17;;;11.73;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:17:33;14.10;;;11.30;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:20:01;17.60;;;10.97;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:22:29;15.90;;;10.63;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:24:57;15.10;;;11.50;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:27:27;16.10;;;10.97;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:29:54;12.73;;;10.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:32:21;14.63;;;11.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:34:49;14.50;;;11.60;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:37:17;11.83;;;10.60;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:39:45;15.27;;;11.27;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:42:13;19.77;;;12.50;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:44:40;14.77;;;11.43;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:47:09;16.80;;;11.23;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:49:47;15.37;;;11.30;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:52:16;20.00;;;11.93;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:54:43;13.70;;;10.33;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:57:11;15.93;;;12.07;;
3280;SDS011;1652;51.318;6.202;2022-03-16T08:59:38;17.43;;;11.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:02:05;15.03;;;12.13;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:04:33;18.73;;;12.30;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:07:01;16.33;;;11.00;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:09:37;15.50;;;12.17;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:12:04;17.67;;;11.73;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:14:32;15.33;;;11.97;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:16:59;18.93;;;12.20;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:19:26;18.00;;;12.60;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:21:53;15.57;;;12.10;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:24:20;17.57;;;12.97;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:26:49;17.47;;;13.93;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:29:16;20.10;;;12.63;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:31:45;19.77;;;13.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:34:13;18.50;;;12.90;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:36:40;20.00;;;13.57;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:39:09;19.43;;;13.67;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:41:36;17.43;;;13.80;;
3280;SDS011;1652;51.318;6.202;2022-03-16T09:44:04;26.00;;;14.70;;
