sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3280;SDS011;1652;51.318;6.202;2022-02-13T00:01:00;8.80;;;4.80;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:03:29;5.00;;;4.23;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:05:56;4.97;;;4.47;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:08:23;5.67;;;4.33;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:11:10;7.63;;;4.93;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:13:37;17.77;;;5.33;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:16:04;12.00;;;5.73;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:18:31;4.93;;;4.53;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:20:57;10.80;;;4.50;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:23:24;7.03;;;4.93;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:25:51;8.73;;;4.53;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:28:18;12.87;;;4.80;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:30:45;5.23;;;4.30;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:33:16;5.37;;;4.63;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:35:44;5.53;;;4.90;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:38:13;9.33;;;6.10;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:40:40;9.27;;;6.37;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:43:08;11.53;;;6.33;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:45:35;8.47;;;5.77;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:48:02;6.57;;;5.47;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:50:29;9.70;;;4.70;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:52:56;5.97;;;5.13;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:55:23;4.87;;;4.40;;
3280;SDS011;1652;51.318;6.202;2022-02-13T00:57:50;8.83;;;5.47;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:00:17;10.70;;;4.73;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:02:44;5.70;;;5.20;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:05:11;9.80;;;5.37;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:07:38;8.60;;;4.80;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:10:05;7.30;;;5.20;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:12:32;11.00;;;6.23;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:14:59;9.17;;;4.97;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:17:26;8.43;;;4.67;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:19:54;29.67;;;4.73;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:22:21;13.67;;;5.23;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:24:48;5.33;;;4.70;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:27:14;5.73;;;4.80;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:29:41;8.30;;;4.47;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:32:08;7.83;;;4.50;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:34:35;5.07;;;4.57;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:37:02;7.83;;;5.20;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:39:32;5.93;;;4.30;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:41:59;6.53;;;4.70;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:44:27;6.80;;;4.53;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:46:56;7.43;;;5.47;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:49:23;11.57;;;4.80;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:51:52;5.83;;;5.27;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:54:21;6.13;;;4.73;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:56:48;5.00;;;4.60;;
3280;SDS011;1652;51.318;6.202;2022-02-13T01:59:15;6.10;;;4.77;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:01:41;19.57;;;6.40;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:04:08;5.83;;;4.90;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:06:35;7.07;;;5.80;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:09:03;17.83;;;4.80;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:11:31;6.30;;;4.93;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:13:58;5.70;;;5.20;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:16:25;6.40;;;5.80;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:18:52;10.20;;;5.93;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:21:19;11.63;;;4.93;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:23:46;4.17;;;3.87;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:26:15;7.17;;;5.63;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:28:47;6.77;;;4.87;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:31:14;9.90;;;5.43;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:33:41;5.97;;;5.30;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:36:14;6.70;;;5.03;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:38:42;7.30;;;5.20;;
3280;SDS011;1652;51.318;6.202;2022-02-13T02:41:09;5.70;;;5.30;;
